Nome;TipoPosto;Municipio;Preco;Marca;Combustivel;DataAtualizacao;Distrito;Morada;Localidade;CodPostal;Latitude;Longitude
" Absoluteficaz";"Outro";"Penafiel";"1,947 €";"GALP";"Gasóleo simples";"2022-05-06 00:05";"Porto";"EN 15 (Rua Tenente Valadim) Km 29,6";"Tapadinha";"4450-000";41.19332;-8.29786
" BP Faro-Hayward";"Outro";"Faro";"1,954 €";"BP";"Gasóleo simples";"2022-05-03 00:00";"Faro";"Av.Cidade Hayward";"Faro";"8000-074";37.025383;-7.917921
" BP MONTEMOR-O-NOVO (NORTE)";"Outro";"Montemor-o-Novo";"1,954 €";"BP";"Gasóleo simples";"2022-05-03 06:00";"Évora";"Av. Gago Coutinho nº 74";"Montemor-o-Novo";"7050-101";38.647157;-8.207074
" BP S. JOÃO DE BRITO";"Outro";"Porto";"1,984 €";"BP";"Gasóleo simples";"2022-05-06 08:00";"Porto";"Largo S. João de Brito";"Porto";"4100-200";41.16171;-8.65066
" BP Xabregas";"Outro";"Lisboa";"1,984 €";"BP";"Gasóleo simples";"2022-05-03 00:00";"Lisboa";"Av. Infante D.Henrique, 61";"Lisboa - Xabregas";"1900-439";38.72526;-9.11153
" Campo de Besteiros";"Outro";"Tondela";"1,984 €";"BP";"Gasóleo simples";"2022-05-03 07:25";"Viseu";"Av.ª Dr. Afonso Costa, Nº 784";"Campo de Besteiros";"3465-051";40.55375;-8.1327
" Galp  A6 Sul";"Auto-estrada";"Montemor-o-Novo";"1,982 €";"GALP";"Gasóleo simples";"2022-05-06 00:05";"Évora";"A6 Km 55,4 ( Lanço Marateca -Caia)";"Santa Sofia";"7050-349";38.617804;-8.081877
" Galp  V8 Gaia Sul";"Outro";"Vila Nova de Gaia";"1,907 €";"GALP";"Gasóleo simples";"2022-05-06 00:05";"Porto";"Via 8 - Sta. Marinha (lado Shopping)";"Vila Nova de Gaia";"4400-000";41.14028;-8.63405
" Galp A6 Norte";"Auto-estrada";"Montemor-o-Novo";"1,982 €";"GALP";"Gasóleo simples";"2022-05-06 00:05";"Évora";"A6 Km 55,4 (Lanço Marateca - Caia)";"Santa Sofia";"7050-349";38.617724;-8.077889
" Prio- Alfornelos";"Outro";"Amadora";"1,899 €";"PRIO";"Gasóleo simples";"2022-05-03 00:05";"Lisboa";"Av. Ruy Luis Gomes";"Alfornelos";"2650-125";38.763621;-9.203457
" Quinta da Balança, cereais e combustíveis Ldª";"Outro";"Ferreira do Alentejo";"1,862 €";"Genérico";"Gasóleo simples";"2022-05-04 00:00";"Beja";"Espada e Espada, Lda";"Ferreira do Alentejo-Quinta da Balança";"7900-116";38.06354;-8.12096
" REPSOL Marina de V.R.S.A";"Outro";"Vila Real de Santo António";"1,999 €";"REPSOL";"Gasóleo simples";"2022-05-02 10:05";"Faro";"Av. da Republica ";" V.R.Sant.António-Associação Naval do Guadiana";"8901-909";37.19665;-7.4137
"A. Esteves, Lda.";"Outro";"Cinfães";"1,952 €";"GALP";"Gasóleo simples";"2022-05-06 00:05";"Viseu";"EN 321- Km 24,792";"Lugar dos Outeirinhos";"4690-000";41.07314;-8.09386
"A. PINTO - COM. COMB., UNIP., LDA";"Outro";"Faro";"1,912 €";"GALP";"Gasóleo simples";"2022-05-06 00:05";"Faro";"EN 2 Km 729,7";"Estoi-Coiro da Burra";"8000-670";37.09745;-7.90605
"A. Pinto - Com. de Comb. Lda";"Outro";"Tavira";"1,917 €";"GALP";"Gasóleo simples";"2022-05-06 00:05";"Faro";"EN 125 Km 132,8";"São Pedro";"8800-255";37.11808;-7.66325
"A. Pinto - Com. de Comb. Lda.";"Outro";"Tavira";"1,917 €";"GALP";"Gasóleo simples";"2022-05-06 00:05";"Faro";"EN 125 Km 132,8";"São Pedro";"8800-255";37.11787;-7.66306
"A. PINTO, LDA.";"Outro";"Faro";"1,917 €";"GALP";"Gasóleo simples";"2022-05-06 00:05";"Faro";"EN 125 Km 107,6";"Rio Seco";"8005-528";37.02821;-7.90612
